Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
193610,0.06
193611,-0.06
193612,-0.10
193701,-0.28
193702,0.17
193703,0.00
193704,-0.32
193705,-0.09
193706,-0.01
193707,-0.33
193708,0.11
193709,-0.20
193710,0.00
193711,0.39
193712,0.03
193801,-0.11
193802,-0.20
193803,0.15
193804,0.04
193805,0.27
193806,0.00
193807,-0.01
193808,-0.38
193809,0.03
193810,0.18
193811,0.03
193812,0.19
193901,0.16
193902,-0.20
193903,-0.31
193904,-0.41
193905,0.32
193906,0.16
193907,-0.19
193908,-0.05
193909,-0.51
193910,-0.22
193911,-0.43
193912,-0.19
194001,0.00
194002,-0.12
194003,0.01
194004,-0.11
194005,-0.05
194006,0.29
194007,0.26
194008,0.17
194009,0.14
194010,0.01
194011,-0.21
194012,0.52
194101,-0.24
194102,0.01
194103,-0.17
194104,0.54
194105,0.28
194106,0.19
194107,0.33
194108,0.24
194109,-0.23
194110,0.35
194111,0.20
194112,0.27
194201,0.43
194202,0.20
194203,0.12
194204,0.02
194205,0.05
194206,-0.07
194207,-0.32
194208,0.27
194209,0.22
194210,-0.26
194211,0.09
194212,-0.07
194301,-0.01
194302,-0.09
194303,0.07
194304,-0.22
194305,-0.19
194306,-0.35
194307,-0.02
194308,-0.73
194309,-0.19
194310,0.19
194311,-0.25
194312,-0.05
194401,0.11
194402,-0.12
194403,-0.13
194404,-0.27
194405,-0.39
194406,0.17
194407,0.24
194408,0.46
194409,0.59
194410,0.34
194411,0.27
194412,0.19
194501,0.08
194502,-0.05
194503,-0.03
194504,0.35
194505,-0.17
194506,-0.04
194507,-0.11
194508,0.63
194509,0.24
194510,0.08
194511,-0.01
194512,0.05
194601,-0.01
194602,0.06
194603,-0.31
194604,-0.28
194605,0.19
194606,-0.53
194607,-0.12
194608,-0.06
194609,0.12
194610,-0.17
194611,0.15
194612,0.01
194701,0.34
194702,0.21
194703,-0.09
194704,-0.09
194705,0.12
194706,0.37
194707,-0.31
194708,-0.17
194709,-0.33
194710,-0.29
194711,-0.05
194712,-0.33
194801,-0.22
194802,0.06
194803,-0.37
194804,-0.25
194805,-0.03
194806,0.02
194807,0.07
194808,-0.12
194809,-0.07
194810,-0.03
194811,-0.19
194812,0.14
194901,0.01
194902,-0.46
194903,-0.17
194904,-0.31
194905,-0.19
194906,-0.21
194907,-0.03
194908,0.02
194909,-0.13
194910,-0.31
194911,-0.14
194912,0.00
195001,-0.18
195002,-0.13
195003,-0.18
195004,-0.08
195005,0.08
195006,-0.08
195007,0.00
195008,-0.10
195009,-0.09
195010,-0.63
195011,-0.37
195012,-0.19
195101,-0.44
195102,-0.46
195103,0.09
195104,-0.52
195105,-0.08
195106,0.12
195107,0.04
195108,-0.23
195109,0.14
195110,0.09
195111,0.11
195112,-0.06
195201,0.40
195202,0.09
195203,0.36
195204,-0.09
195205,0.03
195206,-0.42
195207,-0.01
195208,0.03
195209,-0.09
195210,-0.04
195211,-0.32
195212,-0.01
195301,-0.01
195302,-0.14
195303,0.32
195304,0.25
195305,0.03
195306,0.00
195307,-0.47
195308,0.04
195309,0.08
195310,-0.09
195311,0.06
195312,0.06
195401,-0.15
195402,-0.17
195403,0.05
195404,-0.12
